task No.,task_name,execution_time,resource_load,earliest_time,latest_time
0,DWC_MS.USP_PRC_REL_ACTIVATION_IM,3,0.056,764,1439
1,cam/cam_ms/fact_prc_idg_pc_daily_sell_in_SCI_exp,7,0.036,411,1439
2,cam/cam_ms/fact_prc_idg_sd_daily_sell_in_SCI_exp,4,0.053,394,1439
3,cam/cam_ms/fact_prc_pc_region_daily_sell_in_exp,3,0.066,391,1439
4,cam/cam_ms/fact_prc_region_pushout_by_product_no_exp,7,0.051,68,1439
5,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMBCON_exp,3,0.075,514,1439
6,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMB_exp,3,0.05,152,1439
7,cam/cam_ms/fact_prc_region_target_detail_exp,4,0.045,8,1439
8,cam/cam_ms/fact_prc_sd_region_daily_sell_in_exp,3,0.044,522,1439
9,cam/cam_ms/prc_manual_region_sale_actl_exp,2,0.067,529,1439
10,cam_corp.usp_dim_calendar_dt,7,0.048,147,1439
11,cam_corp.usp_dim_isg_china_lenovo_area_mapping,1,0.044,525,1439
12,cam_corp.usp_dim_isg_china_manage_region_and_lenovo_region_mapping,1,0.079,317,1439
13,cam_fi.usp_base_ebr_master_fact_delta,4,0.077,486,1439
14,cam_fi.usp_dim_bpc_geo,1,0.044,78,1439
15,cam_fi.usp_dim_current_exrt_to_usd,1,0.058,317,1439
16,cam_fi.usp_dim_fi_meas_backlog_cost_credit_dimension,1,0.068,35,1439
17,cam_fi.usp_dim_fi_pcsd_geo,1,0.074,185,1439
18,cam_fi.usp_dim_fi_pcsd_playbook_seg,1,0.041,202,1439
19,cam_fi.usp_dim_fi_pcsd_prd_high_growth,1,0.046,377,1439
20,cam_fi.usp_dim_fi_pcsd_product,1,0.049,372,1439
21,cam_fi.usp_dim_fi_pcsd_product_ind,1,0.052,25,1439
22,cam_fi.usp_dim_fi_pcsd_seg,1,0.041,596,1439
23,cam_fi.usp_dim_fi_qbr_chnl,1,0.05,168,1439
24,cam_fi.usp_dim_fi_qbr_geo,1,0.036,217,1439
25,cam_fi.usp_dim_fi_qbr_product,1,0.048,336,1439
26,cam_fi.usp_dim_fi_qbr_product_det,1,0.059,793,1439
27,cam_fi.usp_dim_fi_qbr_seg,1,0.067,344,1439
28,cam_fi.usp_dim_global_customer_identification_fi,1,0.055,574,1439
29,cam_fi.usp_dim_isg_cust_group,1,0.055,653,1439
30,cam_fi.usp_dim_isg_product_seg,1,0.037,452,1439
31,cam_fi.usp_dim_lenovo_calendar,1,0.035,610,1439
32,cam_fi.usp_dim_pcr_fiscal_period,1,0.047,661,1439
33,cam_fi.usp_dim_pcr_profit_performance_geo,1,0.041,52,1439
34,cam_fi.usp_dim_pcsd_backlog_product,1,0.067,451,1439
35,cam_fi.usp_dim_pcsd_backlog_profit_performance_geography,1,0.037,593,1439
36,cam_fi.usp_dim_pcsd_backlog_profit_performance_product,1,0.064,231,1439
37,cam_fi.usp_dim_pp_geo_fin,1,0.075,579,1439
38,cam_fi.usp_dim_pp_seg,1,0.052,109,1439
39,cam_fi.usp_dim_product_master_fi,2,0.07,108,1439
40,cam_fi.usp_dim_product_svc_upsell_fi,1,0.043,500,1439
41,cam_fi.usp_dim_svc_upsell_pp_product,1,0.064,585,1439
42,cam_fi.usp_dim_ww_fi_ssg_product_mapping,1,0.06,174,1439
43,cam_fi.usp_fact_cx_kpi_measures,1,0.052,510,1439
44,cam_fi.usp_fact_fi_actl_pnl_data_set,15,0.056,332,1439
45,cam_fi.usp_fact_fi_actl_pnl_data_set_new,12,0.038,146,1439
46,cam_fi.usp_fact_fi_meas_daily_transaction_tmc_projection_delta_full,3,0.041,338,1439
47,cam_fi.usp_fact_fi_pcsd_playbook_actual_backlog_dataset,1,0.063,795,1439
48,cam_fi.usp_fact_fi_pcsd_playbook_actual_dataset,2,0.076,319,1439
49,cam_fi.usp_fact_fi_pcsd_playbook_adhoc_dataset,1,0.079,133,1439
50,cam_fi.usp_fact_fi_pcsd_playbook_bpc_dataset,1,0.043,490,1439
51,cam_fi.usp_fact_fi_playbook_ssg_dataset,1,0.079,710,1439
52,cam_fi.usp_fact_fi_qbr_por_consolidated_dataset,1,0.073,473,1439
53,cam_fi.usp_fact_fin_qbr_por_consolidated_data_set_w_qtd,3,0.034,488,1439
54,cam_fi.usp_fact_isg_bms_fin_data_set,3,0.053,59,1439
55,cam_fi.usp_fact_isg_fi_bgt_center_l3_mapping,1,0.043,614,1439
56,cam_fi.usp_fact_isg_fi_mthly_trend_report,1,0.064,684,1439
57,cam_fi.usp_fact_isg_fi_subpackage_mapping,1,0.063,577,1439
58,cam_fi.usp_fact_isg_idc_tracker,2,0.058,375,1439
59,cam_fi.usp_fact_isg_operational_and_ext_pcon,1,0.071,445,1439
60,cam_fi.usp_fact_isg_pipeline,1,0.036,700,1439
61,cam_fi.usp_fact_isg_seg_master_coo_budapest,1,0.065,676,1439
62,cam_fi.usp_fact_isg_seg_master_coo_cost,1,0.046,793,1439
63,cam_fi.usp_fact_isg_seg_master_coo_monterrey,1,0.056,75,1439
64,cam_fi.usp_fact_isg_seg_master_kpi_hpc,1,0.047,302,1439
65,cam_fi.usp_fact_isg_seg_master_kpi_mega,1,0.052,514,1439
66,cam_fi.usp_fact_isg_seg_master_kpi_pipeline_projection,1,0.064,372,1439
67,cam_fi.usp_fact_isg_seg_master_kpi_prc_loads,1,0.031,755,1439
68,cam_fi.usp_fact_isg_seg_master_kpi_prc_pipeline,1,0.041,249,1439
69,cam_fi.usp_fact_isg_seg_master_kpi_sale_ops,1,0.076,699,1439
70,cam_fi.usp_fact_isg_seg_master_kpi_server,1,0.047,759,1439
71,cam_fi.usp_fact_isg_seg_performance_geo_load_track,1,0.053,332,1439
72,cam_fi.usp_fact_isg_seg_performance_loads_data_set,1,0.049,621,1439
73,cam_fi.usp_fact_isg_seg_performance_order_loads_detail,1,0.037,797,1439
74,cam_fi.usp_fact_isg_sw_rev_by_vendor,1,0.036,473,1439
75,cam_fi.usp_fact_opslc_operation_dcg,1,0.03,783,1439
76,cam_fi.usp_fact_optimus_sw_details,2,0.052,111,1439
77,cam_fi.usp_fact_pcsd_backlog_master,3,0.067,786,1439
78,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset,2,0.049,182,1439
79,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset_new,9,0.058,124,1439
80,cam_fi.usp_fact_prc_new_ebr_sti_master_delta,1,0.075,377,1439
81,cam_fi.usp_fact_qtd_load_query,1,0.051,182,1439
82,cam_fi.usp_fact_row_fi_meas_master_delta_full,16,0.073,738,1439
83,cam_fi.usp_fact_row_fi_svc_upsell_meas_master,12,0.054,3,1439
84,cam_fi.usp_fact_row_fin_pnl_statement_sum_with_full_pti,1,0.078,487,1439
85,cam_fi.usp_fact_row_new_ebr_master_all_delta,12,0.061,350,1439
